QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,SAMP_UN,SAMP_UN_,RTELECT,RTELECT_,RTGAS,RTGAS_,RTWATER,RTWATER_,RTHEAT,RTHEAT_,RTTRASH,RTTRASH_,RTASPAY,RTASPAY_,RTCOMPX,RTCOMPX_,RTBSNSZ,RTBSNSZ_,JRTPAYQV,JRTP_YQV,QRT3MCMX,RTTELEPH,QRT3_CMX,RTTE_EPH,RTTVCABL,RTTV_ABL,RTINTRNT,RTIN_RNT,RTFUNSH,RTFUNSH_,GOVTCOST,GOVT_OST,INCLBDS,INCLBDS_,INCLDRYR,INCL_RYR,INCLFRIG,INCL_RIG,INCLPDS,INCLPDS_,INCLSTOV,INCL_TOV,INCLWSHR,INCL_SHR,PUBLHOUS,PUBL_OUS,OWNED,OWNED_,RTPARK,RTPARK_
20182,03828982,13,0,1,1,D,2,D,1,D,1,D,2,D,2,D,2,D,,A,,A,,A,3600,2,D,D,2,D,2,D,2,D,2,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,1,D
20182,03839952,22,0,1,1,D,1,D,2,D,1,D,1,D,1,D,2,D,,A,,A,,A,10949,1,T,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20182,03840072,19,0,1,1,D,1,D,1,D,1,D,1,D,1,D,2,D,,A,,A,,A,4491,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D,2,D,2,D,2,D,2,D,2,D,1,D
20182,03840182,7,0,1,1,D,1,D,1,D,1,D,2,D,1,D,2,D,,A,,A,,A,2400,2,D,D,1,D,1,D,2,D,2,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,1,D
20182,03840252,20,0,1,1,D,2,D,1,D,1,D,1,D,1,D,2,D,,A,,A,,A,5625,2,D,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20182,03840302,4,0,1,1,D,2,D,2,D,1,D,2,D,2,D,2,D,,A,,A,,A,231,2,D,D,2,D,2,D,2,D,1,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,2,D
20182,03840342,5,0,1,1,D,2,D,2,D,2,D,2,D,2,D,2,D,,A,,A,,A,3600,2,D,D,2,D,2,D,2,D,2,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,2,D
20182,03840352,16,0,1,1,D,2,D,2,D,2,D,2,D,2,D,2,D,,A,,A,,A,2285,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,2,D
20182,03840442,23,0,1,1,D,2,D,2,D,2,D,2,D,2,D,2,D,,A,,A,,A,4950,2,D,D,2,D,2,D,1,D,2,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,1,D
20182,03840502,5,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,1950,2,D,D,2,D,2,D,2,D,2,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,1,D
20182,03840532,18,0,1,1,D,2,D,1,D,1,D,1,D,1,D,2,D,,A,,A,,A,3915,2,D,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20182,03840553,23,0,1,1,D,1,D,1,D,1,D,1,D,1,D,2,D,,A,,A,,A,2715,2,D,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20182,03840564,27,0,1,1,D,2,D,2,D,2,D,2,D,2,D,2,D,,A,,A,,A,2250,2,D,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,2,D
20182,03840622,9,0,1,1,D,2,D,2,D,1,D,2,D,1,D,1,D,350,D,,A,0,D,825,2,D,D,2,D,2,D,2,D,,A,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,1,D
20182,03840702,8,0,1,1,D,1,D,1,D,1,D,1,D,1,D,2,D,,A,,A,,A,150,2,D,D,2,D,2,D,2,D,,A,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,1,D
20182,03840712,6,0,1,1,D,2,D,1,D,1,D,1,D,1,D,1,D,,C,,A,482,D,630,1,D,D,1,D,1,D,1,D,,A,2,D,1,D,1,D,2,D,1,D,1,D,1,D,2,D,2,D
20182,03840752,9,0,1,1,D,2,D,2,D,2,D,2,D,2,D,2,D,,A,,A,,A,3075,2,D,D,1,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20182,03840782,8,0,1,1,D,1,D,2,D,1,D,1,D,1,D,2,D,,A,,A,,A,1920,2,D,D,2,D,2,D,2,D,,A,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,1,D
20182,03840822,10,0,1,1,D,2,D,2,D,2,D,2,D,2,D,2,D,,A,,A,,A,2850,2,D,D,2,D,2,D,2,D,2,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,1,D
20182,03840832,7,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,1305,2,D,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20182,03840852,5,0,1,1,D,1,D,2,D,1,D,1,D,1,D,2,D,,A,,A,,A,1875,2,D,D,2,D,2,D,1,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D
20182,03840912,8,0,1,1,D,,A,,A,,A,,A,,A,2,D,,A,,A,,A,,,A,A,,A,,A,,A,,A,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,,A
20182,03841042,8,0,1,1,D,2,D,2,D,1,D,1,D,1,D,2,D,,A,,A,,A,870,2,D,D,2,D,2,D,2,D,,A,1,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,1,D
20182,03841052,4,0,1,1,D,1,D,1,D,1,D,1,D,1,D,2,D,,A,,A,,A,753,2,D,D,2,D,2,D,2,D,1,D,2,D,2,D,2,D,2,D,2,D,2,D,,C,2,D,2,D
20182,03841072,11,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,3750,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,1,D,2,D,2,D,1,D
20182,03841082,17,0,1,1,D,,A,,A,,A,,A,,A,2,D,,A,,A,,A,,,A,A,,A,,A,,A,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,,A
20182,03841092,10,0,1,1,D,2,D,2,D,2,D,2,D,2,D,2,D,,A,,A,,A,5660,2,D,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,2,D
20182,03841132,20,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,3000,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20182,03841232,12,0,1,1,D,2,D,1,D,1,D,1,D,1,D,2,D,,A,,A,,A,2100,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20182,03841262,9,0,1,1,D,2,D,2,D,2,D,2,D,2,D,2,D,,A,,A,,A,1350,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20182,03841302,5,0,1,1,D,2,D,2,D,1,D,1,D,1,D,2,D,,A,,A,,A,5280,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20182,03841312,6,0,1,1,D,2,D,1,D,1,D,1,D,1,D,2,D,,A,,A,,A,591,2,D,D,2,D,2,D,2,D,,A,1,D,2,D,1,D,2,D,1,D,1,D,1,D,2,D,1,D
20182,03841352,10,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,2175,2,D,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20182,03841512,24,0,1,1,D,2,D,2,D,1,D,1,D,1,D,2,D,,A,,A,,A,1620,2,D,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20182,03841632,24,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,3000,2,D,D,2,D,2,D,2,D,2,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,1,D
20182,03841662,8,0,1,1,D,1,D,1,D,1,D,1,D,1,D,2,D,,A,,A,,A,762,2,D,D,2,D,2,D,2,D,,A,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,1,D
20182,03841722,33,0,1,1,D,,A,,A,,A,,A,,A,2,D,,A,,A,,A,,,A,A,,A,,A,,A,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,,A
20182,03841772,5,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,6600,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,2,D
20182,03841812,13,0,1,1,D,2,D,2,D,2,D,1,D,2,D,2,D,,A,,A,,A,1812,2,D,D,2,D,2,D,2,D,,A,1,D,1,D,1,D,2,D,1,D,1,D,1,D,2,D,1,D
20182,03841862,6,0,1,1,D,2,D,2,D,1,D,2,D,2,D,2,D,,A,,A,,A,2100,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20182,03841982,22,0,1,1,D,2,D,2,D,2,D,2,D,2,D,2,D,,A,,A,,A,1950,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D
20182,03841992,11,0,1,1,D,2,D,2,D,1,D,2,D,2,D,2,D,,A,,A,,A,1101,2,D,D,2,D,2,D,2,D,,A,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,1,D
20182,03842012,13,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,1350,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20182,03842022,18,0,1,1,D,2,D,2,D,2,D,2,D,1,D,2,D,,A,,A,,A,3087,2,D,D,2,D,2,D,2,D,2,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,1,D
20182,03842102,6,0,1,1,D,1,D,1,D,1,D,1,D,1,D,2,D,,A,,A,,A,4161,2,D,D,2,D,2,D,2,D,,A,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D
20182,03842372,8,0,1,1,D,2,D,2,D,2,D,2,D,1,D,2,D,,A,,A,,A,729,2,F,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20182,03842592,16,0,1,1,D,2,D,2,D,1,D,2,D,2,D,2,D,,A,,A,,A,2100,1,D,D,1,D,1,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D
20182,03842612,15,0,1,1,D,2,D,2,D,2,D,2,D,2,D,2,D,,A,,A,,A,6300,2,D,D,2,D,2,D,2,D,2,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,2,D
20182,03842712,16,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,2235,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20182,03842782,34,0,1,1,D,2,D,2,D,2,D,2,D,2,D,2,D,,A,,A,,A,4185,2,D,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20182,03842852,16,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,3300,2,D,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20182,03842892,18,0,1,1,D,1,D,1,D,1,D,1,D,1,D,2,D,,A,,A,,A,2145,2,D,D,1,D,2,D,2,D,,A,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,1,D
20182,03842982,16,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,1653,2,D,D,2,D,2,D,2,D,,A,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,1,D
20182,03843352,9,0,1,2,D,2,D,2,D,1,D,1,D,1,D,2,D,,A,,A,,A,3600,2,D,D,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,B,,A,2,D
20182,03843512,11,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,6600,2,D,D,2,D,2,D,2,D,2,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,1,D
20182,03843532,20,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,3414,2,D,D,2,D,2,D,2,D,2,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,2,D
20182,03843622,14,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,750,2,D,D,2,D,2,D,2,D,2,D,2,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,2,D
