QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,NUMLOC,NUMLOC_,LOCLODGX,LOCL_DGX,ALCMEALX,ALCM_ALX,ALCGROCX,ALCG_OCX,LOCADMSX,LOCA_MSX,FOODLCDL,FOOD_CDL,LODGLCDL,LODG_CDL,ENTRLCDL,ENTR_CDL,ELSELCDL,ELSE_CDL,QLCMLAX,QLCMLAX_,QLCGLAX,QLCGLAX_
20182,03845902,48,0,1,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20182,03847872,26,0,1,1,D,100,D,,A,,A,140,D,,A,,A,,A,,A,50,D,,A
20182,03848782,17,0,1,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20182,03849582,8,0,1,2,D,200,D,,A,,A,,A,,A,,A,,A,,A,200,D,,A
20182,03850162,9,0,1,33,D,,A,,A,,A,,A,,A,,A,,A,,A,75,D,75,D
20182,03850642,49,0,1,1,D,140,D,,A,,A,,A,,A,,A,,A,,A,50,D,,A
20182,03854292,58,0,1,5,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20182,03854602,18,0,1,2,D,,A,15,D,,A,,A,,A,,A,,A,,A,135,D,,A
20182,03857482,23,0,1,1,D,254,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20182,03857832,26,0,1,3,D,105,D,,A,,A,,A,,A,,A,,A,,A,100,D,,A
20182,03858042,28,0,1,2,D,450,D,8,D,,A,,A,,A,,A,,A,,A,142,D,,A
20182,03858832,33,0,1,1,D,89,D,,A,,A,,A,,A,,A,,A,,A,800,F,,A
20182,03860052,38,0,1,1,D,119,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20182,03860162,54,0,1,1,D,420,D,150,D,,A,70,D,,A,,A,,A,,A,150,D,,A
20182,03891741,19,0,1,3,D,170,D,,A,,A,,A,,A,,A,,A,,A,70,D,,A
20182,03894921,24,0,1,6,D,350,D,,A,,A,300,D,,A,,A,,A,,A,400,D,,A
20182,03896121,41,0,1,1,D,110,D,,A,,A,,A,,A,,A,,A,,A,45,D,,A
20182,03896571,48,0,1,2,D,130,D,,A,,A,,A,,A,,A,,A,,A,100,D,,A
20182,03898931,21,0,1,1,D,89,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20182,03902861,11,0,1,2,D,100,D,,A,20,D,,A,,A,,A,,A,,A,,A,80,D
20182,03906581,26,0,1,1,D,89,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20182,03906701,24,0,1,1,D,,A,,A,,A,,A,,A,,A,,A,,A,500,D,150,D
20182,03908911,32,0,1,1,D,70,D,,A,,A,,A,,A,,A,,A,,A,30,D,,A
20182,03910471,12,0,1,1,D,200,D,20,D,,A,,A,,A,,A,,A,,A,100,D,,A
20182,03912081,26,0,1,1,D,125,D,,A,,A,,A,,A,,A,,A,,A,50,D,,A
20182,03923381,22,0,1,3,D,541,G,24,G,2,G,12,G,,A,,A,,A,,A,115,G,6,G
20182,03925214,33,0,1,3,D,300,D,,A,,A,,A,,A,,A,,A,,A,45,D,,A
20182,03925391,27,0,1,3,D,270,D,,A,,A,2,D,,A,,A,,A,,A,100,D,,A
20182,03926921,23,0,1,1,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20182,03927981,32,0,1,1,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20182,03931891,16,0,1,2,D,210,D,20,D,,A,,A,,A,,A,,A,,A,130,D,,A
20183,03756434,32,0,1,1,D,251,G,,A,,A,49,G,2,D,1,D,1,D,2,D,70,D,,A
20183,03764534,33,0,1,2,D,425,D,,A,,A,,A,,A,,A,,A,,A,125,D,,A
20183,03776574,27,0,1,1,D,139,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20183,03776644,26,0,1,1,D,111,D,25,D,,A,,A,,A,,A,,A,,A,100,D,,A
20183,03778324,28,0,1,3,D,350,G,,A,,A,,A,2,D,1,D,2,D,2,D,75,D,,A
20183,03778924,22,0,1,3,D,,A,,A,,A,35,D,,A,,A,,A,,A,100,D,25,D
20183,03782564,65,0,1,2,D,550,D,,A,,A,,A,,A,,A,,A,,A,200,D,,A
20183,03783614,23,0,1,1,D,120,D,,A,,A,,A,,A,,A,,A,,A,20,D,,A
20183,03785254,30,0,1,2,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,60,D
20183,03801284,42,0,1,1,D,175,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20183,03802414,25,0,1,1,D,7,D,,A,,A,,A,,A,,A,,A,,A,40,D,,A
20183,03803204,30,0,1,1,D,,A,,A,,A,,A,2,D,1,D,2,D,1,D,,A,,A
20183,03803754,33,0,1,2,D,320,D,,A,50,D,85,D,,A,,A,,A,,A,130,D,0,D
20183,03804294,34,0,1,2,D,400,D,,A,,A,,A,,A,,A,,A,,A,130,D,,A
20183,03804844,26,0,1,2,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20183,03806964,22,0,1,8,D,700,D,,A,100,D,,A,,A,,A,,A,,A,480,D,200,D
20183,03807934,23,0,1,1,D,125,D,,A,,A,35,D,,A,,A,,A,,A,10,D,,A
20183,03820473,34,0,1,2,D,51,D,,A,,A,45,D,,A,,A,,A,,A,,A,,A
20183,03821973,46,0,1,1,D,,A,,A,,A,240,D,,A,,A,,A,,A,500,D,47,D
20183,03823733,23,0,1,1,D,,A,,A,,A,,A,,A,,A,,A,,A,40,D,30,D
20183,03825813,36,0,1,3,D,360,D,20,D,,A,,A,,A,,A,,A,,A,280,D,,A
20183,03827823,37,0,1,12,D,1500,D,400,D,,A,28,D,,A,,A,,A,,A,500,D,,A
20183,03827843,13,0,1,4,D,128,D,,A,,A,,A,,A,,A,,A,,A,160,D,,A
20183,03839873,35,0,1,2,D,80,D,,A,,A,,A,,A,,A,,A,,A,60,D,,A
20183,03841733,39,0,1,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,100,D,,A
20183,03842593,14,0,1,2,D,320,D,,A,,A,,A,,A,,A,,A,,A,150,D,,A
20183,03843893,56,0,1,3,D,600,D,40,D,,A,,A,,A,,A,,A,,A,460,D,,A
20183,03844703,27,0,1,6,D,3000,D,,A,,A,,A,,A,,A,,A,,A,500,D,,A
20183,03845333,34,0,1,3,D,331,D,,A,,A,,A,,A,,A,,A,,A,,A,21,D
20183,03849193,28,0,1,3,D,400,G,,A,,A,,A,2,D,1,D,2,D,2,D,200,D,,A
20183,03850343,24,0,1,1,D,121,D,,A,,A,,A,,A,,A,,A,,A,,A,10,D
20183,03852493,56,0,1,1,D,46,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20183,03853373,20,0,1,2,D,,A,,A,,A,,A,,A,,A,,A,,A,100,D,,A
20183,03855103,35,0,1,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20183,03857503,58,0,1,14,D,500,D,,A,,A,175,D,,A,,A,,A,,A,,A,,A
20183,03857753,48,0,1,5,D,413,D,40,D,,A,140,D,,A,,A,,A,,A,180,D,,A
20183,03857913,52,0,1,3,D,1450,D,200,D,,A,835,D,,A,,A,,A,,A,225,D,,A
