QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MAJAPPLY,MAJA_PLY,GFTC_MAJ,GFTC0MAJ,MAJ_MO,MAJ_MO_,MAJPURX,MAJPURX_,MAJRENTX,MAJR_NTX,MAJINSTX,MAJI_STX,MJAPPL1,MJAPPL1_,MJAPPL2,MJAPPL2_,MJAPPL3,MJAPPL3_,MJAPPL4,MJAPPL4_,MJAPPL5,MJAPPL5_,MJAPPL6,MJAPPL6_,MJAPPL7,MJAPPL7_,MJAPPL8,MJAPPL8_,MJAPPL9,MJAPPL9_
20184,03993942,2,0,1,140,D,1,D,09,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,03994332,1,0,1,140,D,1,D,11,D,560,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,03995222,1,0,1,220,D,2,D,,A,,A,,H,,A,220,D,195,D,,A,,A,,A,,A,,A,,A,,A
20184,03995222,1,1,1,195,D,2,D,,A,,A,200,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,03995612,1,0,1,195,D,1,D,09,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,03996072,1,0,1,195,D,1,D,09,D,570,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,03996262,1,0,1,100,D,1,D,11,D,550,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04006921,1,0,1,120,D,1,D,07,D,169,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04006921,2,0,1,220,D,1,D,07,D,,H,,A,,A,140,D,100,D,,A,,A,,A,,A,,A,,A,,A
20184,04006921,2,1,1,140,D,1,D,07,D,3628,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04006921,2,2,1,100,D,1,D,07,D,3372,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04006931,1,0,1,120,D,1,D,07,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04007061,1,0,1,120,D,1,D,09,D,109,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04007721,1,0,1,140,D,1,D,09,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04007811,1,0,1,195,D,1,D,07,D,1508,D,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04007871,1,0,1,120,D,1,D,09,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04008371,1,0,1,195,D,1,D,07,D,500,D,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04008371,2,0,1,120,D,1,D,07,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04008401,1,0,1,140,D,1,D,07,D,900,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04008841,1,0,1,195,D,1,D,09,D,784,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04009091,1,0,1,160,D,1,D,08,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04009281,1,0,1,120,D,1,D,08,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04009541,1,0,1,100,D,1,D,07,D,640,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04009651,1,0,1,120,D,1,D,07,D,43,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04009721,1,0,1,120,D,1,D,07,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04009971,1,0,1,195,D,1,D,08,D,900,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04010121,1,0,1,195,D,1,D,07,D,743,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04010311,1,0,1,100,D,1,D,07,D,841,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04010991,1,0,1,140,D,1,D,07,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04011221,1,0,1,120,D,1,D,08,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04011621,1,0,1,195,D,1,D,09,D,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04011701,1,0,1,140,D,1,D,08,D,1500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04011921,1,0,1,160,D,1,D,09,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04011951,1,0,1,120,D,1,D,07,D,475,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04011951,2,0,1,160,D,1,D,07,D,765,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04011951,3,0,1,195,D,1,D,07,D,1500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
