QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,RENTCODE,RENT_ODE,BSNSPCTZ,BSNS_CTZ,QADRENTX,QADR_NTX,ANYVACAT,ANYV_CAT
20182,03721864,44,0,1,105,D,,A,220,D,1,D
20182,03722804,42,0,1,105,D,,A,300,D,1,D
20182,03734304,28,0,1,105,D,,A,350,D,1,D
20182,03735614,37,0,1,105,D,,A,575,D,1,D
20182,03736774,10,0,1,105,D,,A,540,D,2,D
20182,03737854,34,0,1,180,D,,A,120,D,1,D
20182,03739484,27,0,1,160,D,,A,200,D,2,D
20182,03741664,14,0,1,105,D,,A,350,D,2,D
20182,03742024,17,0,1,105,D,,A,500,D,1,D
20182,03742364,21,0,1,105,D,,A,500,D,1,D
20182,03742684,31,0,1,105,D,,A,200,D,1,D
20182,03744034,25,0,1,105,D,,A,160,D,1,D
20182,03756173,30,0,1,105,D,,A,550,D,1,D
20182,03756203,20,0,1,105,D,,A,140,D,1,D
20182,03756953,28,0,1,105,D,,A,200,D,1,D
20182,03758603,25,0,1,105,D,,A,240,D,1,D
20182,03758643,17,0,1,105,D,,A,150,D,1,D
20182,03758893,30,0,1,105,D,,A,130,D,1,D
20182,03759663,30,0,1,105,D,,A,355,D,1,D
20182,03759893,28,0,1,105,D,,A,1000,D,1,D
20182,03760753,29,0,1,105,D,,A,600,D,1,D
20182,03761233,40,0,1,105,D,,A,300,D,1,D
20182,03761533,9,0,1,105,D,,A,239,D,2,D
20182,03762453,15,0,1,105,D,,A,115,D,1,D
20182,03762543,25,0,1,105,D,,A,700,D,1,D
20182,03763783,16,0,1,105,D,,A,200,D,1,D
20182,03763833,33,0,1,105,D,,A,250,D,1,D
20182,03764053,14,0,1,105,D,,A,500,D,1,D
20182,03764733,53,0,1,105,D,,A,390,D,1,D
20182,03765143,35,0,1,105,D,,A,150,D,1,D
20182,03776363,47,0,1,105,D,,A,75,D,1,D
20182,03777503,16,0,1,105,D,,A,50,D,1,D
20182,03777503,17,0,1,105,D,,A,50,D,1,D
20182,03777503,18,0,1,105,D,,A,50,D,1,D
20182,03778293,44,0,1,105,D,,A,120,D,2,D
20182,03778333,32,0,1,105,D,,A,400,D,1,D
20182,03781023,13,0,1,105,D,,A,1200,D,2,D
20182,03781143,7,0,1,105,D,,A,700,D,1,D
20182,03781973,41,0,1,105,D,,A,150,D,1,D
20182,03782223,44,0,1,105,D,,A,173,D,1,D
20182,03783323,14,0,1,105,D,,A,490,D,2,D
20182,03783753,41,0,1,105,D,,A,139,D,2,D
20182,03784133,52,0,1,105,D,,A,275,D,1,D
20182,03784773,15,0,1,105,D,,A,250,D,1,D
20182,03784813,24,0,1,105,D,,A,90,D,1,D
20182,03785444,19,0,1,105,D,,A,108,D,1,D
20182,03785444,20,0,1,105,D,,A,250,D,1,D
20182,03785743,23,0,1,105,D,.50,D,95,D,2,D
20182,03786523,20,0,1,105,D,,A,700,D,1,D
20182,03786903,31,0,1,105,D,,A,275,D,1,D
20182,03798093,18,0,1,105,D,,A,200,D,1,D
20182,03798233,38,0,1,105,D,,A,1000,D,2,D
20182,03799023,34,0,1,105,D,,A,350,D,1,D
20182,03800353,50,0,1,200,D,,A,600,D,2,D
20182,03800953,12,0,1,105,D,,A,150,D,1,D
20182,03801503,23,0,1,105,D,,A,80,D,1,D
20182,03802743,18,0,1,160,D,,A,120,D,2,D
20182,03803983,39,0,1,105,D,,A,240,D,1,D
20182,03804063,73,0,1,105,D,,A,402,D,1,D
20182,03804603,35,0,1,105,D,,A,100,D,1,D
20182,03804603,36,0,1,105,D,,A,100,D,1,D
20182,03804843,21,0,1,105,D,,A,1,D,1,D
20182,03804983,41,0,1,105,D,,A,11,D,2,D
20182,03805373,33,0,1,105,D,,A,72,D,2,D
20182,03805783,25,0,1,105,D,,A,100,D,1,D
20182,03807843,12,0,1,200,D,,A,60,D,2,D
20182,03807933,27,0,1,105,D,,A,100,D,1,D
20182,03807953,39,0,1,105,D,,A,250,D,1,D
20182,03818722,22,0,1,105,D,1.0,D,0,D,2,D
20182,03818862,26,0,1,105,D,,A,430,D,1,D
20182,03819502,38,0,1,180,D,,A,60,D,2,D
20182,03819822,31,0,1,105,D,,A,76,D,2,D
20182,03820442,44,0,1,105,D,,A,1314,D,2,D
20182,03821182,46,0,1,105,D,,A,92,D,1,D
20182,03821412,50,0,1,105,D,,A,115,D,1,D
20182,03821412,51,0,1,105,D,,A,210,D,1,D
20182,03822872,29,0,1,105,D,,A,80,D,1,D
20182,03822962,25,0,1,105,D,,A,250,D,1,D
20182,03823042,16,0,1,105,D,,A,51,D,1,D
20182,03823042,17,0,1,105,D,,A,81,D,1,D
20182,03823612,34,0,1,105,D,,A,110,D,1,D
20182,03823632,15,0,1,105,D,,A,400,D,1,D
20182,03823972,27,0,1,200,D,,A,30,D,2,D
20182,03824572,35,0,1,105,D,,A,85,D,1,D
20182,03825782,35,0,1,105,D,,A,335,D,1,D
20182,03825812,45,0,1,105,D,,A,180,D,1,D
20182,03826432,13,0,1,105,D,,A,100,D,1,D
20182,03827652,39,0,1,105,D,,A,200,D,1,D
20182,03828822,26,0,1,160,D,,A,320,D,1,D
20182,03840122,19,0,1,105,D,,A,180,D,1,D
20182,03840572,22,0,1,105,D,,A,10,D,1,D
20182,03841902,26,0,1,200,D,,A,100,D,1,D
20182,03842382,60,0,1,105,D,,A,240,D,2,D
20182,03843392,37,0,1,105,D,,A,160,D,1,D
20182,03843632,45,0,1,105,D,,A,260,D,1,D
20182,03843892,55,0,1,105,D,,A,330,D,1,D
20182,03843992,62,0,1,105,D,,A,410,D,1,D
20182,03844242,35,0,1,105,D,,A,88,D,1,D
20182,03845402,21,0,1,105,D,,A,541,D,1,D
20182,03845722,21,0,1,105,D,,A,630,D,1,D
20182,03850022,22,0,1,105,D,,A,136,D,1,D
20182,03850342,30,0,1,105,D,,A,175,D,1,D
20182,03853492,31,0,1,105,D,,A,500,D,1,D
20182,03854442,29,0,1,105,D,,A,250,D,1,D
20182,03854452,38,0,1,105,D,,A,190,D,1,D
20182,03854602,16,0,1,105,D,,A,120,D,1,D
20182,03855482,16,0,1,105,D,,A,167,D,1,D
20182,03856392,54,0,1,180,D,,A,132,D,2,D
20182,03857832,25,0,1,200,D,,A,1600,D,1,D
20182,03858322,12,0,1,105,D,,A,120,D,2,D
20182,03858392,9,0,1,200,D,,A,1,D,2,D
20182,03859962,20,0,1,105,D,,A,310,F,1,D
20182,03860162,39,0,1,105,D,,A,50,D,1,D
20182,03860202,14,0,1,200,D,,A,3300,D,1,D
20182,03891581,17,0,1,105,D,,A,250,D,1,D
20182,03892061,20,0,1,105,D,,A,500,D,2,D
20182,03892121,6,0,1,105,D,,A,2500,D,2,D
20182,03892361,20,0,1,105,D,,A,130,D,2,D
20182,03892411,10,0,1,105,D,,A,220,D,1,D
20182,03892811,14,0,1,105,D,,A,500,D,1,D
20182,03892841,53,0,1,105,D,,A,400,D,2,D
20182,03893101,24,0,1,105,D,,A,200,D,1,D
20182,03893403,8,0,1,105,D,,A,80,D,2,D
20182,03894221,17,0,1,105,D,,A,300,D,1,D
20182,03894911,35,0,1,105,D,,A,698,D,1,D
20182,03895784,28,0,1,105,D,,A,30,D,2,D
20182,03895791,27,0,1,105,D,,A,350,D,1,D
20182,03895791,28,0,1,105,D,,A,500,D,1,D
20182,03895791,29,0,1,105,D,,A,500,D,1,D
20182,03895791,30,0,1,105,D,,A,500,D,1,D
20182,03896191,21,0,1,105,D,,A,35,D,1,D
20182,03896301,43,0,1,105,D,,A,600,D,1,D
20182,03896371,14,0,1,105,D,,A,130,D,1,D
20182,03896523,29,0,1,105,D,,A,650,D,1,D
20182,03897221,47,0,1,105,D,,A,220,D,1,D
20182,03897561,41,0,1,105,D,,A,100,D,1,D
20182,03897671,20,0,1,105,D,,A,275,D,1,D
20182,03898301,19,0,1,105,D,,A,410,F,1,D
20182,03898981,23,0,1,105,D,,A,250,D,1,D
20182,03899311,8,0,1,105,D,,A,310,D,1,D
20182,03899781,29,0,1,105,D,,A,800,D,2,D
20182,03899801,30,0,1,105,D,,A,310,F,1,D
20182,03900051,39,0,1,105,D,,A,450,D,2,D
20182,03900051,40,0,1,105,D,,A,400,D,1,D
20182,03902224,53,0,1,105,D,,A,105,D,1,D
20182,03902621,38,0,1,105,D,,A,100,D,1,D
20182,03902673,16,0,1,200,D,,A,550,D,2,D
20182,03903331,22,0,1,105,D,,A,450,D,1,D
20182,03904881,17,0,1,105,D,,A,300,D,1,D
20182,03905401,44,0,1,105,D,,A,600,D,1,D
20182,03907011,27,0,1,105,D,,A,500,D,1,D
20182,03908131,36,0,1,105,D,,A,30,D,2,D
20182,03908531,18,0,1,105,D,,A,800,D,1,D
20182,03909281,5,0,1,105,D,,A,900,D,2,D
20182,03910081,21,0,1,105,D,,A,300,D,1,D
20182,03910311,11,0,1,105,D,,A,150,D,1,D
20182,03911161,18,0,1,105,D,,A,165,D,2,D
20182,03911951,19,0,1,105,D,,A,286,D,1,D
20182,03912231,22,0,1,105,D,,A,525,D,1,D
20182,03912521,18,0,1,105,D,,A,200,D,2,D
20182,03912661,21,0,1,105,D,,A,570,D,1,D
20182,03922891,73,0,1,160,D,,A,60,D,1,D
20182,03923241,29,0,1,105,D,,A,350,D,1,D
20182,03923331,15,0,1,105,D,,A,5000,D,2,D
20182,03923381,15,0,1,105,D,,A,98,D,1,D
20182,03923381,16,0,1,170,D,,A,10,D,1,D
20182,03924001,30,0,1,105,D,,A,30,D,2,D
20182,03924421,22,0,1,105,D,,A,255,D,1,D
20182,03924531,23,0,1,105,D,,A,200,D,1,D
20182,03924791,19,0,1,105,D,,A,100,D,2,D
20182,03925731,9,0,1,105,D,,A,70,D,2,D
20182,03925781,13,0,1,105,D,,A,180,D,1,D
20182,03925821,4,0,1,105,D,,A,900,D,2,D
20182,03926441,9,0,1,105,D,,A,140,D,1,D
20182,03927321,11,0,1,105,D,,A,250,D,1,D
20182,03927321,12,0,1,160,D,,A,270,D,1,D
20182,03927981,24,0,1,105,D,,A,805,D,1,D
20182,03928201,29,0,1,105,D,,A,479,D,1,D
20182,03928531,43,0,1,200,D,,A,20,D,1,D
20182,03931001,21,0,1,105,D,,A,675,D,1,D
20182,03931491,29,0,1,105,D,,A,350,D,1,D
20182,03933411,24,0,1,105,D,,A,2250,D,2,D
20183,03756174,40,0,1,105,D,,A,300,D,1,D
20183,03756954,31,0,1,105,D,,A,170,D,2,D
20183,03756954,32,0,1,105,D,,A,170,D,2,D
20183,03757754,63,0,1,105,D,,A,639,D,2,D
20183,03758544,35,0,1,105,D,,A,121,D,2,D
20183,03758944,36,0,1,200,D,,A,265,D,2,D
20183,03759664,15,0,1,105,D,,A,900,D,2,D
20183,03761134,44,0,1,105,D,,A,172,D,1,D
20183,03763144,54,0,1,105,D,,A,500,D,1,D
20183,03763174,35,0,1,105,D,,A,500,D,1,D
20183,03763524,98,0,1,105,D,,A,64,D,2,D
20183,03763624,32,0,1,105,D,,A,570,D,1,D
20183,03776364,51,0,1,105,D,,A,1500,D,1,D
20183,03776714,12,0,1,105,D,1.0,D,0,D,2,D
20183,03776714,13,0,1,200,D,1.0,D,0,D,2,D
20183,03776894,25,0,1,105,D,,A,125,D,1,D
20183,03777084,37,0,1,105,D,,A,300,D,1,D
20183,03778324,25,0,1,105,D,,A,167,D,1,D
20183,03778774,66,0,1,105,D,,A,257,D,2,D
20183,03779414,13,0,1,105,D,,A,110,D,1,D
20183,03781024,19,0,1,105,D,,A,1275,D,2,D
20183,03781424,45,0,1,105,D,,A,600,D,1,D
20183,03781694,43,0,1,105,D,,A,65,D,1,D
20183,03781974,57,0,1,105,D,,A,128,D,2,D
20183,03782564,58,0,1,105,D,,A,190,D,1,D
20183,03782964,41,0,1,105,D,,A,300,D,1,D
20183,03784134,83,0,1,105,D,,A,90,D,2,D
20183,03784364,13,0,1,105,D,,A,350,D,2,D
20183,03785524,55,0,1,105,D,,A,350,D,1,D
20183,03785534,14,0,1,105,D,,A,60,D,2,D
20183,03786524,22,0,1,105,D,,A,168,D,1,D
20183,03798384,22,0,1,105,D,,A,175,D,1,D
