QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPFLUDX,VOPF_UDX,VOPPARKX,VOPP_RKX,VOPTOWX,VOPTOWX_,VOPDOCKX,VOPD_CKX,VOPPLCYX,VOPP_CYX,TANKGASX,TANK_ASX,JGASOXQV,JGAS_XQV,JDIESXQV,JDIE_XQV,VOPCLUBX,VOPC_UBX,VOPTOLLX,VOPT_LLX,VOPOILX,VOPOILX_,JELEXQV,JELEXQV_,JETHXQV,JETHXQV_,MISPURCH,QADELEX,QADELEX_,QADETHX,QADETHX_,QELEDDZ,QELEDDZ_,VOPELBPR,VOPELBS,VOPELBS_,VOPELEC,VOPELECX,VOPELEC_,VOPETH,VOPETHX,VOPETHX_,VOPETH_,VOPE_BPR,VOPE_ECX
20181,03640574,16,0,1,,A,,A,,A,,A,,A,,A,600,D,,A,,A,,A,25,D,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03640614,24,0,1,,A,,A,,A,,A,,A,,A,150,D,,A,,A,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03640634,47,0,1,,A,,A,,A,,A,,A,,A,111,D,,A,,A,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03640664,40,0,1,,A,,A,,A,,A,,A,,A,1050,D,,A,,A,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03640684,8,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03640704,23,0,1,,A,,A,,A,,A,,A,,A,120,D,,A,82,D,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03640744,103,0,1,,A,,A,,A,,A,,A,,A,930,D,150,D,,A,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03640764,37,0,1,,A,,A,,A,,A,,A,,A,75,D,,A,,A,,A,5,D,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03640774,32,0,1,,A,,A,,A,,A,,A,,A,150,D,,A,,A,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03640784,78,0,1,,A,10,D,,A,,A,,A,,A,900,D,,A,,A,12,D,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03640804,28,0,1,,A,,A,,A,,A,,A,,A,420,D,,A,,A,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03640814,47,0,1,,A,,A,,A,,A,,A,,A,240,D,,A,,A,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03640834,41,0,1,,A,,A,,A,,A,,A,,A,225,D,,A,,A,15,D,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03640844,36,0,1,,A,,A,,A,,A,,A,,A,600,D,,A,,A,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03640854,30,0,1,30,D,,A,,A,,A,,A,,A,600,D,,A,,A,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03640874,106,0,1,,A,4,D,,A,,A,,A,,A,285,D,,A,,A,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03640904,31,0,1,,A,25,D,,A,,A,,A,,A,600,D,,A,,A,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03640994,44,0,1,,A,,A,,A,,A,,A,,A,270,D,,A,,A,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03641034,31,0,1,,A,,A,,A,,A,,A,,A,180,D,,A,,A,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03641044,52,0,1,,A,,A,,A,,A,,A,,A,240,D,,A,,A,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
