QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPMOA,VOPMOA_,VOPEXPX,VOPEXPX_,VOPRMBXA,VOPR_BXA,QVOPEQPX,QVOP_QPX,VOPSERVY,VOPS_RVY,VOPLABOR,VOPL_BOR,VOPREIMB,VOPR_IMB,VPSRVY1,VPSRVY1_,VPSRVY2,VPSRVY2_,VPSRVY3,VPSRVY3_,VPSRVY4,VPSRVY4_,VPSRVY5,VPSRVY5_,VPSRVY6,VPSRVY6_,VPSRVY7,VPSRVY7_,VPSRVY8,VPSRVY8_,VPSRVY9,VPSRVY9_
20181,03819961,23,0,1,11,D,40,D,,A,40,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03819961,24,0,1,10,D,400,D,,A,400,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820021,11,0,1,11,D,28,D,,A,28,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820051,22,0,1,10,D,89,D,,A,89,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820091,19,0,1,10,D,7,D,,A,7,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820171,37,0,1,10,D,97,D,,A,97,D,100,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820191,63,0,1,10,D,11,D,,A,11,D,370,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820191,64,0,1,12,D,260,D,,A,260,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820191,65,0,1,12,D,110,D,,A,,H,500,D,1,D,2,D,370,D,100,D,,A,,A,,A,,A,,A,,A,,A
20181,03820191,65,1,1,12,D,,B,,A,90,E,370,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820191,65,2,1,12,D,,B,,A,20,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820231,27,0,1,11,D,30,D,,A,30,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820231,28,0,1,12,D,144,D,,A,,H,115,D,1,D,2,D,100,D,110,D,,A,,A,,A,,A,,A,,A,,A
20181,03820231,28,1,1,12,D,,B,,A,29,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820231,28,2,1,12,D,,B,,A,115,E,110,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820281,17,0,1,11,D,100,D,,A,100,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820361,28,0,1,11,D,35,D,,A,35,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820361,29,0,1,11,D,60,D,,A,60,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820381,67,0,1,10,D,15,D,,A,15,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820381,68,0,1,11,D,15,D,,A,15,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820381,69,0,1,12,D,15,D,,A,15,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820381,70,0,1,12,D,1100,D,,A,,H,500,D,1,D,2,D,100,D,160,D,320,D,,A,,A,,A,,A,,A,,A
20181,03820381,70,1,1,12,D,,B,,A,86,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820381,70,2,1,12,D,,B,,A,167,E,160,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820381,70,3,1,12,D,,B,,A,847,E,320,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820441,47,0,1,11,D,50,D,,A,50,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820451,20,0,1,11,D,48,D,,A,48,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820451,21,0,1,10,D,250,D,,A,250,D,370,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820471,53,0,1,10,D,86,D,,A,86,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820471,54,0,1,12,D,622,D,,A,622,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820484,31,0,1,10,D,50,D,,A,50,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820484,32,0,1,11,D,131,D,,A,131,D,130,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820511,36,0,1,12,D,21,D,,A,21,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820591,38,0,1,11,D,100,D,,A,100,D,370,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820611,19,0,1,10,D,30,D,,A,30,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820611,20,0,1,11,D,30,D,,A,30,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820611,21,0,1,12,D,32,D,,A,32,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820651,29,0,1,11,D,250,D,,A,,H,500,D,1,D,2,D,110,D,370,D,100,D,,A,,A,,A,,A,,A,,A
20181,03820651,29,1,1,11,D,,B,,A,103,E,110,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820651,29,2,1,11,D,,B,,A,121,E,370,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820651,29,3,1,11,D,,B,,A,26,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820741,25,0,1,11,D,25,D,,A,25,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820781,24,0,1,12,D,300,D,,A,300,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820781,25,0,1,10,D,250,D,,A,250,D,140,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820811,18,0,1,12,D,200,D,,A,,H,500,D,1,D,2,D,140,D,100,D,,A,,A,,A,,A,,A,,A,,A
20181,03820811,18,1,1,12,D,,B,,A,200,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820831,50,0,1,10,D,7,D,,A,7,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820831,51,0,1,11,D,7,D,,A,7,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820831,52,0,1,12,D,7,D,,A,7,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820861,56,0,1,11,D,100,D,,A,100,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820861,57,0,1,10,D,40,D,,A,40,D,367,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820861,58,0,1,11,D,40,D,,A,40,D,367,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820861,59,0,1,12,D,40,D,,A,40,D,367,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820871,25,0,1,11,D,27,D,,A,27,D,150,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820871,26,0,1,12,D,107,D,,A,107,D,370,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820881,13,0,1,11,D,1000,D,,A,1000,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820881,14,0,1,11,D,1000,D,,A,1000,D,370,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820891,74,0,1,10,D,25,D,,A,25,D,100,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820921,25,0,1,10,D,330,D,,A,330,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820921,26,0,1,11,D,26,D,,A,26,D,100,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
