QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,EDUC_AY,EDUC_AY_,EDUCGFTC,EDUC_FTC,EDSCHL_A,EDSC_L_A,EDMONTHA,EDMO_THA,EDREIMBX,EDRE_MBX,JEDUCNET,JEDU_NET,EDUC_A1,EDUC_A1_,EDUC_A2,EDUC_A2_,EDUC_A3,EDUC_A3_,EDUC_A4,EDUC_A4_,EDUC_A5,EDUC_A5_,EDUC_A6,EDUC_A6_,EDUC_A7,EDUC_A7_,EDUC_A8,EDUC_A8_,EDUC_A9,EDUC_A9_
20191,04031152,5,0,1,350,D,1,D,1,D,01,D,,A,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04031362,5,0,1,350,D,1,D,1,D,01,D,,A,255,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04031432,7,0,1,350,D,1,D,2,D,11,D,,A,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04031452,4,0,1,300,D,1,D,1,D,01,D,,A,3000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04031462,6,0,1,380,D,2,D,1,D,01,D,,A,,H,380,D,300,D,,A,,A,,A,,A,,A,,A,,A
20191,04031462,6,1,1,300,D,2,D,1,D,01,D,,A,10595,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04031462,6,2,1,350,D,2,D,1,D,01,D,,A,1405,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04031602,14,0,1,200,D,1,D,,A,13,D,,A,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04031672,8,0,1,345,D,2,D,,A,11,D,,A,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04031672,9,0,1,360,D,2,D,,A,12,D,,A,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04031952,9,0,1,200,D,1,D,,A,13,D,,A,760,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04032052,13,0,1,350,D,1,D,2,D,12,D,,A,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04032152,4,0,1,300,D,1,D,2,D,13,D,,A,900,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04032152,5,0,1,310,D,2,D,,A,13,D,,A,775,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04032152,6,0,1,320,D,2,D,,A,13,D,,A,3500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04032152,7,0,1,360,D,1,F,,A,13,D,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04032162,16,0,1,100,D,1,D,,A,01,D,,A,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04032162,17,0,1,310,D,1,D,,A,11,D,,A,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04032162,18,0,1,300,D,1,D,1,D,01,D,,A,325,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04032162,19,0,2,345,D,1,D,,A,11,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04032262,4,0,1,370,D,1,D,1,D,12,D,,A,,H,350,D,300,D,,A,,A,,A,,A,,A,,A,,A
20191,04032262,4,1,1,350,D,1,D,1,D,12,D,,A,250,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04032262,4,2,1,300,D,1,D,1,D,12,D,,A,3750,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04032392,30,0,1,100,D,1,D,,A,11,D,,A,460,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04032392,31,0,1,310,D,1,D,,A,13,D,,A,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04032392,32,0,1,320,D,1,D,,A,13,D,,A,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04032392,33,0,1,100,D,1,D,,A,01,D,,A,550,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04032392,34,0,1,350,D,1,D,1,D,01,D,,A,650,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04032552,6,0,1,100,D,1,D,,A,01,D,,A,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04032552,7,0,1,200,D,1,D,,A,13,D,,A,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04032952,4,0,1,300,D,1,D,6,D,01,D,,A,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04032952,5,0,1,300,D,1,D,6,D,01,D,,A,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
