ALCNO,CHIP,CHIPCOV,CHIPCOV_,CHIPPRMX,CHIP_,CHIP_RMX,CHXCHNG,CHXCHNG_,IHS,IHSCOV,IHSCOV_,IHS_,JCHIPQVX,JCHI_QVX,JMDCDQVX,JMDC_QVX,MDCDCOV,MDCDCOV_,MDCDPRMX,MDCD_RMX,MEDICAID,MEDI_AID,MEDPREM,MEDPREM_,MILITARY,MILI_ARY,MILMAN,MILMAN_,MILOTCOV,MILOTHR,MILOTHR_,MILOTSTL,MILO_COV,MILO_STL,MILSPC1,MILSPC1_,MILSPC2,MILSPC2_,MILSPC3,MILSPC3_,MILSPC4,MILSPC4_,MILVACOV,MILVASTL,MILV_COV,MILV_STL,MXCHNG,MXCHNG_,NEWID,QTRIRPMX,QTRI_PMX,RECTYPE,REC_ORIG,REC_STAT,SEQNO,STRFPRM1,STRF_RM1,TRIANYPD,TRIA_YPD,TRICRSTL,TRIC_STL,TRIIRGXB,TRII_GXB,TRILSTTM,TRIL_TTM,TRIRPMPD,TRIRPMXB,TRIR_MPD,TRIR_MXB,QYEAR
0,2,0,D,,D,A,,A,2,0,D,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,B,A,1,D,03845954,,A,HHM,5,1,2,,A,,A,,A,,A,,A,,,A,A,20184
0,2,0,D,,D,A,,A,2,0,D,D,,A,,A,2,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,B,A,2,D,03846044,,A,HHM,5,1,3,,A,,A,,A,,A,,A,,,A,A,20184
0,2,0,D,,D,A,,A,2,0,D,D,,A,,A,0,D,,A,2,D,,A,1,D,4,D,,2,D,,A,A,1,D,,A,,A,,A,0,,D,A,,A,03846064,,A,HHM,1,1,3,,A,,A,,A,,A,,A,,,A,A,20184
0,2,0,D,,D,A,,A,2,0,D,D,,A,,A,2,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,B,A,2,D,03846074,,A,HHM,1,1,16,,A,,A,,A,,A,,A,,,A,A,20184
0,2,0,D,,D,A,,A,2,0,D,D,,A,,A,2,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,B,A,1,D,03846124,,A,HHM,5,1,6,,A,,A,,A,,A,,A,,,A,A,20184
0,2,0,D,,D,A,,A,2,0,D,D,,A,,A,2,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,B,A,2,D,03846194,,A,HHM,5,1,14,,A,,A,,A,,A,,A,,,A,A,20184
0,2,0,D,,D,A,,A,2,0,D,D,,A,,A,0,D,,A,2,D,,A,1,D,,A,,2,D,,A,A,2,D,,A,,A,,A,1,1,D,D,,A,03846204,,A,HHM,5,1,2,,A,,A,,A,,A,,A,,,A,A,20184
0,2,0,D,,D,A,,A,2,0,D,D,,A,180,D,1,D,60,D,1,D,1,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,B,A,,C,03846394,,A,HHM,5,1,3,,A,,A,,A,,A,,A,,,A,A,20184
0,2,0,D,,D,A,,A,2,0,D,D,,A,,A,0,D,,A,2,D,,A,1,D,1,D,,2,D,,A,A,1,D,2,D,,A,,A,1,1,D,D,,A,03846564,64,D,HHM,5,1,7,,A,1,D,1,D,,A,1,D,09,257,D,D,20184
0,2,0,D,,D,A,,A,2,0,D,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,B,A,2,D,03846574,,A,HHM,1,1,3,,A,,A,,A,,A,,A,,,A,A,20184
