QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOG,PROP0NOG,OWNYG,OWNYG_,NEWMRTG,NEWMRTG_,ORGMRTG,ORGMRTG_,QMRTTRMG,QMRT_RMG,MRTPMTG,MRTPMTG_,PAYPRTXG,PAYP_TXG,PAYPRING,PAYP_ING,PAYMRING,PAYM_ING,PAYOTHRG,PAYO_HRG,QESCROWG,QESC_OWG,QPRINM1G,QPRI_M1G,QPRINM2G,QPRI_M2G,QPRINM3G,QPRI_M3G,QADINT1G,QADI_T1G,QADINT2G,QADI_T2G,QADINT3G,QADI_T3G,QRFINDTG,QRFI_DTG,FRSTPYMG,FRST_YMG,FRSTPYRG,FRST_YRG,FIXDRTEG,FIXD_TEG,QNEWDATG,QNEW_ATG,QBLNCM1G,QBLN_M1G,QBLNCM2G,QBLN_M2G,QBLNCM3G,QBLN_M3G,LOAN_NOG,LOAN0NOG,VARRTEG,VARRTEG_,INTONLYG,INTO_LYG,OTHRTEG,OTHRTEG_,PAYMT1G,PAYMT1G_,PAYMT2G,PAYMT2G_,PAYMT3G,PAYMT3G_,PAYPRNPG,PAYP_NPG,PAYINTG,PAYINTG_
20191,04009272,15,0,5,01,D,100,D,.0900,F,20000,F,10,F,372,F,,A,,A,,A,6,F,119,F,180,F,182,F,183,F,73,F,71,F,70,F,,A,08,F,2012,F,1,F,,A,9681,F,9501,F,9319,F,01,D,,A,2,D,,A,,A,,A,,A,,A,,A
20191,04009942,37,0,5,01,D,100,D,.0400,D,25000,D,10,D,468,D,,B,,B,,B,,B,215,D,171,D,171,D,172,D,82,D,82,D,81,D,,A,08,D,2018,D,1,D,,A,24660,D,24489,D,24318,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04010862,29,0,5,01,D,100,D,.0709,D,58364,D,11,D,638,D,,A,,A,,A,,A,0,D,634,D,,A,,A,4,D,,A,,A,,A,11,D,2007,D,1,D,,A,634,D,,A,,A,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04013552,11,0,5,01,D,100,D,.0440,F,50000,F,17,F,350,F,,B,,B,,B,,B,1,F,181,F,182,F,182,F,168,F,167,F,167,F,,A,12,F,2016,F,1,F,,A,45852,F,45671,F,45489,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04014612,41,0,5,01,D,100,D,.0400,D,50000,D,10,D,512,D,,B,,B,,B,,B,6,D,340,D,342,D,343,D,166,D,164,D,163,D,,A,09,D,2018,D,1,D,,A,49661,D,49320,D,48979,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04015562,38,0,5,01,D,100,D,.0440,D,46059,D,15,D,350,D,,A,,A,,A,,A,0,D,201,D,201,D,202,D,149,D,149,D,148,D,,A,06,D,2016,D,1,D,,A,40729,D,40528,D,40326,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04028152,29,0,5,01,D,100,D,.0679,D,5600,D,18,D,45,D,,A,,A,,A,,A,0,D,26,D,26,D,26,D,19,D,19,D,19,D,,A,11,D,2008,D,1,D,,A,3322,D,3296,D,3270,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04028192,30,0,5,01,D,100,D,.0440,D,50000,D,15,D,490,D,,B,,B,,B,,B,110,D,219,D,219,D,220,D,161,D,161,D,160,D,,A,06,D,2016,D,1,D,,A,43994,D,43775,D,43556,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04032122,17,0,5,01,D,100,D,.0500,D,85000,D,10,D,1100,D,3,D,4,D,,A,,A,198,D,590,D,593,D,595,D,312,D,309,D,307,D,,A,05,D,2017,D,1,D,,A,74782,D,74191,D,73599,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04032272,24,0,5,01,D,100,D,.0475,D,28669,D,15,D,223,D,,A,,A,,A,,A,0,D,119,D,120,D,120,D,104,D,103,D,103,D,,A,01,D,2017,D,1,D,,A,26157,D,26037,D,25917,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04036202,46,0,5,01,D,100,D,.1000,D,50000,D,15,D,750,D,,B,,B,,B,,B,213,D,278,D,281,D,283,D,259,D,256,D,254,D,,A,06,D,2010,D,1,D,,A,31053,D,30774,D,30494,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04037212,18,0,5,01,D,100,D,.0525,D,100000,D,15,D,804,D,,A,,A,,A,,A,0,D,982,D,986,D,990,D,30,D,26,D,22,D,,A,06,D,2004,D,2,D,,A,5530,D,4750,D,3967,D,01,D,1,D,,A,,A,1012,D,1012,D,1012,D,1,D,2,D
20191,04037962,19,0,5,01,D,100,D,.0900,D,20000,D,10,D,372,D,,A,,A,,A,6,D,119,D,180,D,182,D,183,D,73,D,71,D,70,D,,A,08,D,2012,D,1,D,,A,9681,D,9501,D,9319,D,01,D,,A,,A,,A,,A,,A,,A,,A,,A
