QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,LSDNUM,LSDNUM_,LSDCODE,LSDCODE_,MODELYR,MODELYR_,PRCBSNSZ,PRCB_NSZ,NUMPAY,NUMPAY_,PMTMONTH,PMTM_NTH,PAYEXPX,PAYEXPX_,PAYTIME,PAYTIME_,EMPLYEXP,EMPL_EXP,TRADEEXP,TRAD_EXP,DOWNEXP,DOWNEXP_,DNEMPEXP,DNEM_EXP,LSDENDMO,LSDE_DMO,QADPMT1X,QADP_T1X,QADPMT2X,QADP_T2X,QADPMT3X,QADP_T3X,QEXTRA1X,QEXT_A1X,QEXTRA2X,QEXT_A2X,QEXTRA3X,QEXT_A3X,QADDOWNX,QADD_WNX,QADFEEX,QADFEEX_,LSD__AKE,LSDENDYR,LSDE_DYR,PMTYEAR,PMTYEAR_,LSD_MAKE
20181,03655984,22,0,5,01,D,105,D,2015,D,,A,36,D,05,D,189,D,3,D,,A,,A,,A,,A,,A,189,D,189,D,189,D,,A,,A,,A,,A,,A,D,,A,2015,D,VOK
20181,03656054,23,0,5,01,D,105,D,2017,D,,A,36,D,10,D,381,D,3,D,,A,,A,5000,D,,A,,A,381,D,381,D,381,D,,A,,A,,A,5000,D,,A,D,,A,2016,D,SUB
20181,03656304,23,0,5,01,D,105,D,2005,D,,A,,C,04,F,,C,,C,,A,,A,,A,,A,,A,500,F,500,F,500,F,,A,,A,,A,,A,,A,D,,A,2016,F,HYU
20181,03656314,8,0,5,01,D,105,D,,C,,A,36,D,03,D,199,D,3,D,,A,,A,1000,D,,A,,A,199,D,199,D,199,D,,A,,A,,A,1000,D,,A,D,,A,2016,D,TOY
20181,03657064,27,0,5,01,D,105,D,2017,D,,A,36,D,12,D,420,D,3,D,,A,,A,1000,D,,A,,A,420,D,420,D,420,D,,A,,A,,A,1000,D,,A,D,,A,2016,D,GMC
20181,03657354,9,0,1,01,D,105,D,2017,D,,A,36,D,02,D,450,D,3,D,,A,,A,,A,,A,,A,450,D,450,D,450,D,,A,,A,,A,,A,,A,D,,A,2017,D,SUB
20181,03659094,24,0,5,01,D,105,D,2015,D,,A,36,D,02,D,303,D,3,D,,A,,C,,A,,A,,A,303,D,303,D,303,D,,A,,A,,A,,A,,A,D,,A,2015,D,HON
20181,03659094,26,0,5,03,D,105,D,2017,D,,A,36,D,11,D,214,D,3,D,,A,700,D,700,D,,A,,A,214,D,214,D,214,D,,A,,A,,A,700,D,,A,D,,A,2017,D,HON
20181,03659094,27,0,1,04,D,105,D,2017,D,,A,36,D,11,D,200,D,3,D,,A,13000,D,700,D,,A,,A,200,D,200,D,200,D,,A,,A,,A,700,D,,A,D,,A,2017,D,HON
20181,03659184,8,0,5,01,D,105,D,2016,D,,A,60,D,01,D,425,D,3,D,,A,,A,1000,D,,A,,A,425,D,425,D,425,D,,A,,A,,A,1000,D,,A,D,,A,2017,D,MAZ
20181,03660484,10,0,5,01,D,105,D,2016,D,,A,36,D,10,D,329,D,3,D,,A,1400,D,,A,,A,,A,329,D,329,D,329,D,,A,,A,,A,,A,,A,D,,A,2015,D,SUB
20181,03661424,10,0,5,01,D,105,D,2014,D,,A,36,D,09,F,335,D,3,D,,A,,A,,A,,A,,A,335,D,335,D,335,D,,A,,A,,A,,A,,A,D,,A,2014,D,MAZ
20181,03661454,26,0,5,01,D,105,D,2013,D,,A,72,D,10,D,300,D,3,D,,A,200,D,,A,,A,,A,300,D,300,D,300,D,,A,,A,,A,,A,,A,D,,A,2015,D,DOD
20181,03661814,22,0,1,01,D,105,D,2014,D,,A,48,D,05,D,730,D,3,D,,A,,A,,C,,A,02,D,730,D,730,D,730,D,,A,,A,,A,,B,,A,D,2018,D,2014,D,VOV
20181,03661884,24,0,5,01,D,105,D,2017,D,,A,48,D,09,D,630,D,3,D,,A,,A,4000,D,,A,,A,630,D,630,D,630,D,100,D,100,D,100,D,4000,D,,A,D,,A,2017,D,AUD
20181,03662674,20,0,5,01,D,105,D,2017,D,,A,36,D,12,D,400,D,3,D,,A,11800,D,,A,,A,,A,400,D,400,D,400,D,,A,,A,,A,,A,,A,D,,A,2017,D,FOR
20181,03662754,15,0,5,01,D,105,D,2015,D,,A,36,D,06,D,400,D,3,D,,A,,A,,A,,A,,A,400,D,400,D,400,D,,A,,A,,A,,A,,A,D,,A,2015,D,LAN
20181,03662894,9,0,5,01,D,105,D,2004,D,,A,12,D,05,D,200,D,3,D,,A,,A,,A,,A,,A,200,D,200,D,200,D,,A,,A,,A,,A,,A,D,,A,2009,D,CHE
20181,03663204,15,0,5,01,D,105,D,2015,D,,A,36,D,03,D,300,D,3,D,,A,,A,2000,D,,A,01,D,300,D,300,D,300,D,,A,,A,,A,2000,D,,A,D,,A,2015,D,FOR
20181,03663204,16,0,1,02,D,105,D,2018,D,,A,36,D,02,D,310,D,3,D,,A,,A,4000,D,,A,,A,,A,,A,310,D,,A,,A,,A,4000,D,,A,D,,A,2018,D,LIN
20181,03663534,9,0,5,01,D,105,D,2016,D,,A,48,D,03,D,377,D,3,D,,A,,A,2000,D,,A,,A,377,D,377,D,377,D,,A,,A,,A,2000,D,,A,D,,A,2016,D,JEE
20181,03663544,15,0,5,01,D,105,D,2015,D,,A,36,D,06,D,341,D,3,D,,A,,A,3000,D,,A,,A,341,D,341,D,341,D,,A,,A,,A,3000,D,,A,D,,A,2015,D,HON
20181,03664604,8,0,5,01,D,105,D,2011,D,,A,60,D,08,D,164,D,3,D,,A,2500,D,,A,,A,,A,164,D,164,D,164,D,,A,,A,,A,,A,,A,D,,A,2015,D,CHE
