QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,APPRPRYB,APPR_RYB,SRVCMOB,SRVCMOB_,REPAIRX,REPAIRX_,APPRPB1,APPRPB1_,APPRPB2,APPRPB2_,APPRPB3,APPRPB3_,APPRPB4,APPRPB4_,APPRPB5,APPRPB5_,APPRPB6,APPRPB6_,APPRPB7,APPRPB7_,APPRPB8,APPRPB8_,APPRPB9,EQBPURCH,APPRPB9_
20181,03649864,24,1,2,110,D,10,D,17,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03649864,24,2,2,100,D,10,D,15,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03650054,3,0,1,190,D,11,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03650194,10,0,1,110,D,12,D,580,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03650514,7,0,1,190,D,01,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03650744,19,0,1,200,D,01,D,178,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03650914,3,0,1,190,D,12,D,53,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03651084,7,0,1,220,D,01,D,72,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03651224,7,0,2,200,D,11,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03651424,5,0,1,190,D,11,D,182,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03651654,9,0,1,200,D,12,D,830,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03651654,10,0,1,200,D,11,D,343,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03651654,11,0,1,130,D,11,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03651744,9,0,1,190,D,11,D,165,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03651984,7,0,1,200,D,01,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03652144,7,0,1,110,D,01,D,32,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03652144,8,0,1,200,D,12,D,240,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03652164,3,0,1,220,D,01,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03652544,5,0,1,110,D,12,D,89,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03652974,17,0,1,200,D,01,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03653294,5,0,1,110,D,01,D,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03653584,5,0,1,110,D,12,D,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03653814,5,0,1,110,D,01,D,86,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03654334,25,0,2,190,D,11,D,68,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03654474,6,0,1,190,D,12,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03654474,7,0,1,190,D,01,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03654474,8,0,2,190,D,11,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03654564,3,0,1,190,D,01,D,69,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03654564,4,0,2,190,D,11,D,69,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03654914,4,0,1,200,D,01,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03655114,14,0,1,190,D,01,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03655604,4,0,1,110,D,01,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03655674,28,0,1,110,D,12,D,22,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03655904,8,0,1,110,D,12,D,68,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03655904,9,0,2,110,D,11,D,68,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03656224,3,0,1,110,D,11,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03656374,9,0,1,190,D,11,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03656374,10,0,1,190,D,12,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03656374,11,0,1,190,D,01,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03656384,5,0,2,220,D,11,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03656444,5,0,1,140,D,01,D,212,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03656494,7,0,1,200,D,11,D,157,F,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03656824,7,0,1,190,D,11,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03656934,14,0,1,110,D,01,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03657424,8,0,1,110,D,12,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03657544,9,0,1,200,D,01,D,642,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03657904,11,0,1,110,D,12,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03657904,12,0,1,110,D,01,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03657904,13,0,2,110,D,11,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03657924,12,0,1,120,D,12,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03658104,10,0,1,190,D,01,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03658144,15,0,1,190,D,11,D,89,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03658404,4,0,1,190,D,01,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03658404,5,0,2,190,D,11,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03658554,6,0,1,110,D,01,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03658914,6,0,1,130,D,12,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03659024,4,0,1,100,D,11,D,438,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03659044,4,0,1,190,D,12,D,108,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03659094,13,0,1,190,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03659344,3,0,1,200,D,11,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03659344,4,0,1,200,D,12,D,337,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03659444,7,0,1,130,D,01,D,49,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03660034,3,0,2,200,D,11,D,59,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03660474,9,0,1,190,D,12,D,632,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03660974,2,0,1,110,D,02,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03661084,7,0,1,190,D,02,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03661124,9,0,1,190,D,01,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03661214,16,0,1,220,D,01,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03661214,17,0,1,190,D,01,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03661764,6,0,1,190,D,01,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03661874,23,0,1,220,D,02,D,115,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03662004,5,0,1,190,D,01,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03662124,11,0,1,140,D,12,D,169,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03662124,12,0,1,190,D,01,D,99,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03662364,7,0,1,200,D,01,D,17,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03662364,8,0,1,200,D,02,D,17,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03662364,9,0,1,200,D,12,D,17,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03662364,10,0,1,220,D,02,D,105,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03662674,12,0,1,200,D,12,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03662824,8,0,1,190,D,02,D,162,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03662944,11,0,1,200,D,12,D,425,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03662944,12,0,1,190,D,01,D,148,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03663364,5,0,1,190,D,01,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03663364,6,0,1,220,D,12,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03663554,4,0,2,190,D,12,D,129,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03663754,17,0,1,200,D,01,D,165,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03663794,10,0,1,190,D,01,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03663794,11,0,1,200,D,12,D,51,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03663794,12,0,1,200,D,01,D,51,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03663794,13,0,1,200,D,02,D,51,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664194,1,0,1,200,D,12,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664254,5,0,1,190,D,02,D,87,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664254,6,0,2,190,D,12,D,86,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664274,5,0,1,190,D,12,D,38,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664274,6,0,1,190,D,01,D,38,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664274,7,0,1,190,D,02,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664754,3,0,1,190,D,02,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664974,4,0,2,200,D,12,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665284,4,0,1,110,D,12,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665314,6,0,2,110,D,12,D,107,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665324,9,0,1,110,D,01,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03666324,9,0,1,190,D,12,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03666324,10,0,1,190,D,02,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03666624,8,0,1,110,D,02,D,302,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03666624,9,0,1,110,D,02,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03667324,1,0,1,140,D,02,D,134,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03667424,1,0,1,220,D,12,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03667614,31,0,1,190,D,12,D,274,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03667744,3,0,1,120,D,01,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03667784,26,0,1,190,D,02,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03667934,11,0,1,100,D,02,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03668254,5,0,1,190,D,01,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03668274,3,0,1,190,D,02,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03668274,4,0,1,200,D,02,D,27,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03668514,16,0,1,200,D,12,D,592,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03668544,8,0,1,150,D,02,D,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03669344,1,0,1,190,D,01,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03669344,2,0,1,110,D,12,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03669874,3,0,1,110,D,02,D,144,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03670154,6,0,1,190,D,01,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03670354,3,0,1,110,D,02,D,2000,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03670554,12,0,1,190,D,12,D,89,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03670554,13,0,1,200,D,12,D,27,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03670554,14,0,1,200,D,01,D,27,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03670554,15,0,1,200,D,02,D,27,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03670754,10,0,1,190,D,12,D,1400,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03671014,6,0,1,190,D,02,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03671044,23,0,2,100,D,12,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03671324,9,0,2,220,D,12,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03692323,7,0,1,190,D,11,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03692733,24,0,1,170,D,10,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03692733,25,0,1,200,D,12,D,230,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03692813,7,0,1,200,D,12,D,106,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03692843,8,0,1,200,D,11,D,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03692843,9,0,1,190,D,12,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03692963,18,0,1,200,D,10,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03692993,12,0,2,220,D,10,D,127,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03693063,21,0,2,170,D,10,D,258,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03693093,16,0,1,200,D,11,D,53,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03693133,10,0,1,200,D,10,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03694213,7,0,1,190,D,12,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03694463,17,0,1,200,D,12,D,14,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03694683,8,0,1,200,D,11,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03694933,9,0,1,200,D,12,D,8,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03695003,3,0,1,210,D,11,D,,H,210,D,100,D,,A,,A,,A,,A,,A,,A,,,A
20181,03695003,3,1,1,100,D,11,D,53,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03695003,3,2,1,110,D,11,D,61,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03695003,3,3,1,190,D,11,D,47,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03695003,3,4,1,200,D,11,D,64,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03695363,12,0,1,200,D,10,D,17,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03695363,13,0,1,200,D,11,D,17,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03695363,14,0,1,200,D,12,D,17,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03695843,17,0,1,140,D,12,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03695873,3,0,1,200,D,12,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03697063,4,0,1,100,D,11,D,71,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03697123,11,0,2,200,D,10,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
