QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOF,PROP0NOF,OWNYF,OWNYF_,NEWMRRT,NEWMRRT_,ORGMRTX,ORGMRTX_,QMRTTERM,QMRT_ERM,MRTPMTX,MRTPMTX_,PAYPROTX,PAYP_OTX,PAYPROIN,PAYP_OIN,PAYMORIN,PAYM_RIN,PAYOTHER,PAYO_HER,QESCROWX,QESC_OWX,QPRINM1X,QPRI_M1X,QPRINM2X,QPRI_M2X,QPRINM3X,QPRI_M3X,QADINT1X,QADI_T1X,QADINT2X,QADI_T2X,QADINT3X,QADI_T3X,QRFINDAT,QRFI_DAT,FRSTPYMO,FRST_YMO,FRSTPYYR,FRST_YYR,FIXEDRTE,FIXE_RTE,QNEWDATE,QNEW_ATE,QBLNCM1X,QBLN_M1X,QBLNCM2X,QBLN_M2X,QBLNCM3X,QBLN_M3X,LOAN_NOF,LOAN0NOF,VARRTE,VARRTE_,INTONLY,INTONLY_,OTHRTE,OTHRTE_,PAYMT1X,PAYMT1X_,PAYMT2X,PAYMT2X_,PAYMT3X,PAYMT3X_,PAYPRINI,PAYP_INI,PAYINT,PAYINT_,REFI,REFI_
20184,03991192,26,0,5,01,D,100,D,.0425,D,280000,D,30,D,2135,D,3,D,4,D,,A,,A,758,D,463,D,465,D,466,D,914,D,912,D,911,D,,A,05,D,2014,D,1,D,,A,258041,D,257578,D,257114,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20184,03991232,27,0,5,01,D,100,D,.0430,D,202073,D,30,D,1300,D,3,D,4,D,,A,,A,300,D,341,D,342,D,343,D,659,D,658,D,657,D,,A,10,D,2013,D,1,D,,A,183982,D,183641,D,183299,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20184,03991282,8,0,5,01,D,100,D,.0446,D,180000,D,30,D,1100,D,3,D,4,D,,A,,A,192,D,329,D,330,D,331,D,579,D,578,D,577,D,,A,07,D,2011,D,1,D,,A,155834,D,155505,D,155175,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20184,03991352,19,0,5,01,D,100,D,.0500,D,72000,D,30,D,1300,D,,B,,B,,B,,B,913,D,233,D,234,D,235,D,154,D,153,D,152,D,,A,12,D,1998,D,1,D,,A,36942,D,36709,D,36475,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20184,03991502,8,0,1,01,D,100,D,.0743,F,150000,F,30,F,1300,F,3,F,4,F,,A,,A,258,F,483,F,486,F,489,F,559,F,556,F,553,F,,A,02,F,1999,F,1,F,,A,90272,F,89789,F,89303,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20184,03991512,9,0,1,01,D,100,D,.0570,D,276000,D,30,D,2200,D,3,D,4,D,,A,,A,598,D,706,D,709,D,713,D,896,D,893,D,889,D,,A,02,D,2003,D,1,D,,A,188653,D,187947,D,187238,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20184,03991572,25,0,5,01,D,100,D,.0575,D,409000,D,30,D,2900,D,3,D,4,D,5,D,,A,513,D,,A,427,D,429,D,,A,1960,D,1958,D,,A,10,D,2018,D,1,D,,A,,A,409000,D,408573,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20184,03991692,18,0,5,01,D,100,D,.0365,D,333000,D,30,D,2400,D,3,D,4,D,,A,,A,877,D,555,D,557,D,559,D,968,D,966,D,964,D,,A,05,D,2016,D,1,D,,A,318114,D,317559,D,317002,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20184,03991702,21,0,5,01,D,100,D,.0654,D,60000,D,30,D,675,D,3,D,,A,,A,,A,294,D,154,D,155,D,156,D,227,D,226,D,225,D,,A,08,D,2002,D,1,D,,A,41622,D,41468,D,41313,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20184,03991762,39,0,5,01,D,100,D,.0425,D,165000,D,30,D,1500,D,3,D,,A,,A,,A,688,D,277,D,278,D,279,D,535,D,534,D,533,D,,A,01,D,2014,D,1,D,,A,150928,D,150651,D,150373,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20184,03991802,14,0,5,01,D,100,D,.0398,D,64000,D,30,D,417,D,3,D,4,D,,A,,A,112,D,115,D,115,D,115,D,190,D,190,D,190,D,,A,05,D,2013,D,1,D,,A,57400,D,57286,D,57171,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20184,03991812,44,0,5,02,D,200,D,.0450,F,165000,F,30,F,1100,F,,B,,B,,B,,B,264,F,222,F,223,F,224,F,614,F,613,F,612,F,,A,03,F,2018,F,1,F,,A,163684,F,163462,F,163239,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20184,03991862,12,0,5,01,D,100,D,.0400,D,49000,D,30,D,623,D,3,D,4,D,,A,,A,389,D,73,D,74,D,74,D,161,D,160,D,160,D,,A,10,D,2017,D,1,D,,A,48210,D,48136,D,48063,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20184,03991882,25,0,5,01,D,100,D,.0365,D,731360,T,30,D,3192,D,3,D,,A,,A,,A,574,D,958,D,961,D,964,D,1660,D,1657,D,1654,D,,A,04,D,2016,D,1,D,,A,677852,T,675622,T,675839,T,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20184,03991912,15,0,5,01,D,100,D,.0400,D,290000,D,30,D,2500,D,3,D,4,D,,A,,A,1115,D,452,D,453,D,455,D,933,D,932,D,930,D,,A,10,D,2016,D,1,D,,A,280017,D,279566,D,279112,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20184,03991942,15,0,5,01,D,100,D,.0400,D,190000,D,30,D,1245,D,3,D,4,D,,A,,A,338,D,446,D,448,D,449,D,461,D,459,D,458,D,,A,06,D,2006,D,1,D,,A,138196,D,137750,D,137302,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20184,03991952,11,0,5,01,D,100,D,.0641,F,119000,F,30,F,1100,F,3,F,4,F,,A,,A,355,F,239,F,241,F,242,F,506,F,504,F,503,F,,A,04,F,2006,F,1,F,,A,94676,F,94436,F,94196,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20184,03992002,15,0,5,01,D,100,D,.0587,D,153000,D,30,D,1253,D,3,D,4,D,,A,,A,348,D,,A,,A,,A,,A,,A,,A,,A,01,D,2005,D,2,D,,A,113862,D,113514,D,113165,D,01,D,1,D,,A,,A,,A,,A,,A,1,D,2,D,1,D
20184,03992092,25,0,5,01,D,100,D,.0400,D,140000,D,30,D,1475,D,3,D,4,D,,A,,A,807,D,212,D,213,D,214,D,456,D,455,D,454,D,,A,05,D,2017,D,1,D,,A,136697,D,136485,D,136271,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20184,03992142,7,0,1,01,D,100,D,.0400,D,213000,D,30,D,1376,D,3,D,,A,,A,,A,359,D,321,D,322,D,323,D,696,D,695,D,694,D,,A,08,D,2017,D,1,D,,A,208928,D,208608,D,208286,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20184,03992272,10,0,5,01,D,100,D,.0450,D,146047,D,30,D,900,D,3,D,,A,,A,,A,160,D,223,D,223,D,224,D,517,D,517,D,516,D,,A,06,D,2015,D,1,D,,A,137986,D,137764,D,137540,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20184,03992272,11,0,5,01,D,100,D,.0385,D,57000,D,30,D,300,D,,B,,B,,B,,B,33,D,94,D,94,D,95,D,173,D,173,D,172,D,,A,10,D,2015,D,1,D,,A,53889,D,53795,D,53701,D,02,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20184,03992282,18,0,5,01,D,100,D,.0400,D,91856,D,10,D,930,D,,A,,A,,A,,A,0,D,643,D,645,D,647,D,287,D,285,D,283,D,,A,12,D,2017,D,1,D,,A,86166,D,85523,D,84879,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20184,03992302,51,0,5,01,D,100,D,.0440,D,176000,D,30,D,2300,D,3,D,4,D,,A,,A,1419,D,339,D,340,D,341,D,542,D,541,D,540,D,,A,06,D,2010,D,1,D,,A,147933,D,147595,D,147255,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20184,03992302,52,0,5,02,D,300,D,.0420,D,220000,D,30,D,1476,D,3,D,4,D,5,D,,A,400,D,315,D,316,D,317,D,761,D,760,D,759,D,,A,01,D,2018,D,1,D,,A,217522,D,217207,D,216891,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20184,03992312,38,0,5,01,D,100,D,.0400,D,229827,D,15,D,2150,D,3,D,4,D,,A,,A,450,D,988,D,992,D,995,D,712,D,708,D,705,D,,A,04,D,2017,D,1,D,,A,213520,D,212532,D,211540,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20184,03992342,40,0,5,01,D,100,D,.0417,D,128000,D,15,D,1000,D,,B,,B,,B,,B,42,D,613,D,615,D,617,D,345,D,343,D,341,D,,A,06,D,2014,D,1,D,,A,99418,D,98806,D,98191,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
