QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MINAPPLY,MINA_PLY,GFTCMIN,GFTCMIN_,MIN_MO,MIN_MO_,MINPURX,MINPURX_,MINRENTX,MINR_NTX,MNAPPL1,MNAPPL1_,MNAPPL2,MNAPPL2_,MNAPPL3,MNAPPL3_,MNAPPL4,MNAPPL4_,MNAPPL5,MNAPPL5_,MNAPPL6,MNAPPL6_,MNAPPL7,MNAPPL7_,MNAPPL8,MNAPPL8_,MNAPPL9,MNAPPL9_,INSTLSCR,INST_SCR,INSTLLEX,INST_LEX,APBGRPON,APBPURCH,APBP_RCH
20181,03847701,1,0,1,230,D,1,D,01,D,27,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03847721,1,0,1,645,D,1,D,12,D,82,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03847721,2,0,1,660,D,1,D,12,D,41,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03847731,1,0,1,750,D,1,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03847741,1,0,1,660,D,1,D,01,D,540,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03847771,1,0,1,900,D,1,D,11,D,,H,,A,900,D,640,D,,A,,A,,A,,A,,A,,A,,A,2,D,,A,,,A
20181,03847771,1,1,1,365,D,1,D,11,D,304,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03847771,1,2,1,640,D,1,D,11,D,246,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03847801,1,0,1,660,D,1,D,11,D,790,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03847833,1,0,1,230,D,1,D,12,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03847833,2,0,1,260,D,1,D,12,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03847833,3,0,1,660,D,1,D,12,D,1299,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03847833,4,0,1,660,D,1,D,12,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03847833,5,0,1,425,D,1,D,11,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,,,A
20181,03847941,2,0,1,230,D,1,D,01,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03847981,1,0,1,240,D,3,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03847981,2,0,1,640,D,1,D,01,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,,,A
20181,03847981,3,0,1,700,D,1,D,12,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
