QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MEDPCARY,MEDP_ARY,MEDPGFTC,MEDP_FTC,MEDPMTMO,MEDP_TMO,MEDPMTX,MEDPMTX_,MEDPCY1,MEDPCY1_,MEDPCY2,MEDPCY2_,MEDPCY3,MEDPCY3_,MEDPCY4,MEDPCY4_,MEDPCY5,MEDPCY5_,MEDPCY6,MEDPCY6_,MEDPCY7,MEDPCY7_,MEDPCY8,MEDPCY8_,MEDPCY9,MEDPCY9_,MEDPPRNT,MEDP_RNT,MEDPNOUT,MEDP_OUT
20181,03640874,52,0,1,510,D,1,D,12,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640874,53,0,1,620,D,1,D,10,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640874,54,0,1,620,D,1,D,11,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640994,19,0,1,420,D,1,D,12,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640994,20,0,1,420,D,1,D,11,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640994,21,0,1,510,D,1,D,12,D,217,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640994,22,0,1,620,D,1,D,12,D,84,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641034,10,0,1,200,D,1,D,10,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641044,17,0,1,110,D,1,D,11,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641044,18,0,1,120,D,1,D,12,D,530,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641044,19,0,1,200,D,1,D,11,D,98,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641044,20,0,1,620,D,1,D,11,D,440,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641064,13,0,1,200,D,1,D,11,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641084,14,0,2,420,D,1,D,10,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641134,27,0,1,620,D,1,D,13,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641204,22,0,2,120,D,1,D,10,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641204,23,0,2,110,D,1,D,10,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641204,24,0,2,420,D,1,D,10,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641244,11,0,1,330,D,1,D,11,D,403,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641244,12,0,1,620,D,1,D,13,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641244,13,0,2,420,D,1,D,10,D,78,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641264,12,0,2,330,D,1,D,10,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641284,24,0,1,900,D,1,D,12,D,,H,510,D,530,D,420,D,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641284,24,1,1,510,D,1,D,12,D,346,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641284,24,2,1,530,D,1,D,12,D,262,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641284,24,3,1,420,D,1,D,12,D,262,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641284,25,0,1,620,D,1,D,13,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641284,26,0,2,330,D,1,D,10,D,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641284,27,0,2,420,D,1,D,10,D,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641404,7,0,1,330,D,1,D,11,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641404,8,0,1,620,D,1,D,13,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641424,4,0,1,620,D,1,D,13,D,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641474,32,0,1,200,D,1,D,10,D,230,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641474,33,0,1,330,D,1,D,11,D,221,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641474,34,0,1,410,D,1,D,11,D,267,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20181,03641474,35,0,1,410,D,1,D,10,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20181,03641474,36,0,1,410,D,1,D,11,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20181,03641474,37,0,1,510,D,1,D,11,D,32,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641474,38,0,1,620,D,1,D,11,D,89,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641504,11,0,1,330,D,1,D,11,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641504,12,0,1,330,D,1,D,12,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641504,13,0,1,420,D,1,D,12,D,240,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641504,14,0,1,620,D,1,D,13,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641504,15,0,1,655,D,1,D,11,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20181,03641504,16,0,1,655,D,1,D,12,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20181,03641654,24,0,1,620,D,1,D,13,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641674,23,0,1,200,D,2,D,11,D,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641674,24,0,1,620,D,1,D,10,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641674,25,0,1,620,D,1,D,11,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
