QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CLOTHYD,CLOTHYD_,CLSVGFTC,CLSV_FTC,CLOTHMOD,CLOT_MOD,CLSRVCX,CLSRVCX_,CLOTHD1,CLOTHD1_,CLOTHD2,CLOTHD2_,CLOTHD3,CLOTHD3_,CLOTHD4,CLOTHD4_,CLOTHD5,CLOTHD5_,CLOTHD6,CLOTHD6_,CLOTHD7,CLOTHD7_,CLOTHD8,CLOTHD8_,CLOTHD9,CLOTHD9_
20181,03695473,8,0,1,450,D,1,D,10,D,48,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03695723,4,0,2,460,D,1,D,10,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03696243,12,0,1,470,D,1,D,12,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03696773,9,0,1,450,D,1,D,10,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03697453,4,0,2,450,D,1,D,10,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03697483,13,0,1,460,D,1,D,12,D,76,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03698423,8,0,1,470,D,1,D,10,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03699843,4,0,1,450,D,1,D,12,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03699913,8,0,2,470,D,1,D,10,D,23,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03699983,7,0,1,470,D,1,D,12,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03699983,8,0,1,460,D,1,D,12,D,43,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03701133,18,0,1,460,D,1,D,11,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03701133,19,0,1,460,D,1,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03701793,3,0,1,460,D,1,D,10,D,95,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03713273,5,0,2,450,D,1,D,11,D,26,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03713693,2,0,1,450,D,1,D,12,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03713833,3,0,2,470,D,1,D,11,D,11,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03715143,3,0,1,450,D,1,D,12,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03715403,7,0,1,470,D,1,D,12,D,230,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03715493,7,0,1,450,D,1,D,01,D,32,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03716833,9,0,1,460,D,1,D,01,D,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03716833,10,0,1,450,D,1,D,01,D,11,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03716963,7,0,1,450,D,1,D,01,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03717093,4,0,1,450,D,1,D,12,D,39,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03718753,3,0,1,450,D,1,D,12,D,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03719003,11,0,1,450,D,1,D,01,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03719213,3,0,1,490,D,1,D,11,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03719213,4,0,1,490,D,1,D,12,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03719213,5,0,1,490,D,1,D,01,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03719223,2,0,1,460,D,1,D,01,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
