QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MISCCODE,MISC_ODE,MISCMO,MISCMO_,MISCGFTC,MISC_FTC,MISCEXPX,MISC_XPX,MISCDE1,MISCDE1_,MISCDE2,MISCDE2_,MISCDE3,MISCDE3_,MISCDE4,MISCDE4_,MISCDE5,MISCDE5_,MISCDE6,MISCDE6_,MISCDE7,MISCDE7_,MISCDE8,MISCDE8_,MISCDE9,MISPURCH,MISCDE9_
20181,03663794,41,0,1,240,D,02,D,1,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03663794,42,0,2,140,D,12,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03663794,43,0,2,380,D,12,D,1,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03663794,44,0,2,330,D,12,D,2,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03663794,45,0,2,340,D,12,D,2,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03663834,11,0,1,140,D,01,D,1,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03663844,19,0,1,390,D,13,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03663844,20,0,2,390,D,12,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03663954,16,0,1,170,D,13,D,1,D,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03663954,17,0,1,370,D,13,D,1,D,64,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03663954,18,0,1,240,D,13,D,1,D,141,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03663974,20,0,1,160,D,02,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03663974,21,0,1,260,D,02,D,1,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03663974,22,0,2,240,D,12,D,1,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664024,16,0,1,330,D,12,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664024,17,0,1,330,D,12,D,2,D,215,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664024,18,0,1,240,D,13,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664064,13,0,1,180,D,13,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664064,14,0,1,370,D,13,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664174,9,0,1,390,D,02,D,1,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664214,8,0,1,250,D,02,D,1,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664254,21,0,1,330,D,12,D,1,D,750,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664254,22,0,1,240,D,13,D,1,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664254,23,0,1,130,D,02,D,1,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664274,17,0,1,170,D,13,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664274,18,0,1,390,D,01,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664274,19,0,1,390,D,02,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664274,20,0,1,240,D,13,D,1,D,56,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664274,21,0,1,260,D,02,D,1,D,251,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664294,19,0,1,390,D,13,D,1,D,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664294,20,0,1,460,D,12,D,2,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664294,21,0,1,330,D,12,D,2,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664334,29,0,1,250,D,02,D,1,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664334,30,0,2,150,D,12,D,1,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664404,27,0,1,140,D,01,D,1,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664404,28,0,1,390,D,13,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664404,29,0,1,330,D,02,D,1,D,9,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664404,30,0,1,250,D,12,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664404,31,0,1,240,D,13,D,1,D,126,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664404,32,0,1,240,D,01,D,1,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664414,18,0,1,140,D,02,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664414,19,0,1,265,D,13,D,1,D,,H,250,D,260,D,240,D,,A,,A,,A,,A,,A,,,A
20181,03664414,19,1,1,250,D,13,D,1,D,44,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664414,19,2,1,260,D,13,D,1,D,74,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664414,19,3,1,240,D,13,D,1,D,32,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664414,20,0,1,260,D,12,D,1,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664454,14,0,1,240,D,13,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664474,23,0,1,240,D,12,D,1,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664474,24,0,1,240,D,12,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664484,13,0,1,390,D,13,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664494,14,0,1,160,D,02,D,1,D,1100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664494,15,0,1,330,D,12,D,2,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664494,16,0,1,460,D,12,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664574,29,0,1,390,D,13,D,1,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664574,30,0,1,240,D,13,D,1,D,52,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664574,31,0,1,250,D,01,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664634,12,0,1,240,D,13,D,1,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664694,38,0,1,140,D,12,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664694,39,0,1,140,D,02,D,1,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664694,40,0,1,170,D,13,D,1,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664694,41,0,1,380,D,13,D,1,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664694,42,0,1,370,D,13,D,1,D,54,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664694,43,0,1,390,D,13,D,1,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664694,44,0,1,330,D,12,D,2,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
